1.9228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
132.4353 	EXP 	grating: autoDraw = True
132.4353 	EXP 	grating: tex = 'sin'
132.7353 	EXP 	grating: autoDraw = False
132.9031 	EXP 	window1: recordFrameIntervals = False
132.9038 	DATA 	Keypress: left
132.9186 	EXP 	fixation: autoDraw = False
132.9186 	EXP 	grating: autoDraw = False
132.9187 	EXP 	window1: recordFrameIntervals = False
133.9024 	EXP 	fixation: autoDraw = True
134.9019 	EXP 	fixation: autoDraw = False
134.9019 	EXP 	grating: autoDraw = True
134.9019 	EXP 	grating: tex = 'sin'
135.2017 	EXP 	grating: autoDraw = False
135.2791 	EXP 	window1: recordFrameIntervals = False
135.2798 	DATA 	Keypress: right
135.2852 	EXP 	fixation: autoDraw = False
135.2852 	EXP 	grating: autoDraw = False
135.2854 	EXP 	window1: recordFrameIntervals = False
136.2858 	EXP 	fixation: autoDraw = True
137.2850 	EXP 	fixation: autoDraw = False
137.2850 	EXP 	grating: autoDraw = True
137.2850 	EXP 	grating: tex = 'sin'
137.5850 	EXP 	grating: autoDraw = False
137.6863 	EXP 	window1: recordFrameIntervals = False
137.6871 	DATA 	Keypress: right
137.7017 	EXP 	fixation: autoDraw = False
137.7017 	EXP 	grating: autoDraw = False
137.7019 	EXP 	window1: recordFrameIntervals = False
138.6852 	EXP 	fixation: autoDraw = True
139.6852 	EXP 	fixation: autoDraw = False
139.6852 	EXP 	grating: autoDraw = True
139.6852 	EXP 	grating: tex = 'sin'
139.9853 	EXP 	grating: autoDraw = False
140.0536 	EXP 	window1: recordFrameIntervals = False
140.0543 	DATA 	Keypress: right
140.0686 	EXP 	fixation: autoDraw = False
140.0686 	EXP 	grating: autoDraw = False
140.0687 	EXP 	window1: recordFrameIntervals = False
141.0523 	EXP 	fixation: autoDraw = True
142.0516 	EXP 	fixation: autoDraw = False
142.0685 	EXP 	grating: autoDraw = True
142.0685 	EXP 	grating: tex = 'sin'
142.3685 	EXP 	grating: autoDraw = False
142.6030 	EXP 	window1: recordFrameIntervals = False
142.6037 	DATA 	Keypress: left
142.6183 	EXP 	fixation: autoDraw = False
142.6183 	EXP 	grating: autoDraw = False
142.6185 	EXP 	window1: recordFrameIntervals = False
143.6022 	EXP 	fixation: autoDraw = True
144.6016 	EXP 	fixation: autoDraw = False
